,ret,ret_hedged,pair
0,-0.075263882514915,-0.075263882514915,CHFUSD
1,-0.13379469434832747,-0.13379469434832747,CHFUSD
2,0.29854368932038833,0.29854368932038833,CHFUSD
3,0.26146220570012413,0.23919659160073037,CHFUSD
4,0.21588674793550933,0.2921745969327567,CHFUSD
5,-0.08968042609853522,0.0,CHFUSD
6,0.0380921479558729,0.0,CHFUSD
7,0.17776037588097093,0.10286108238538416,CHFUSD
8,-0.07601909658464923,-0.021387127243286952,CHFUSD
9,-0.026235093696763245,0.07819887975558282,CHFUSD
10,-0.0003359086328518224,-0.09796587926509182,CHFUSD
11,0.11325080238422736,0.144144144144144,CHFUSD
12,0.11366195962921233,0.15394611452828544,CHFUSD
13,-0.09713007827059261,-0.09017104122329933,CHFUSD
14,-0.026951227854162485,-0.1321567822696491,CHFUSD
15,0.0733658110957609,0.0733658110957609,CHFUSD
16,-0.10982586282768603,-0.10982586282768603,CHFUSD
17,0.028862268015641623,0.028862268015641623,CHFUSD
18,-0.01499728964644953,-0.01499728964644953,CHFUSD
19,0.2426279271465741,0.2426279271465741,CHFUSD
20,0.10071826325558852,0.10071826325558852,CHFUSD
21,0.10180638372500872,0.10180638372500872,CHFUSD
22,-0.09479214253083601,0.0,CHFUSD
23,0.047373166133923617,-0.02557167445291353,CHFUSD
24,0.09757388619320695,0.09757388619320695,CHFUSD
25,0.011883596893421888,0.045335911068148826,CHFUSD
26,0.12239180834621322,-0.0303683569219233,CHFUSD
27,0.13408896492728806,0.06328483157265286,CHFUSD
28,0.0062893081761004055,0.06960878371175783,CHFUSD
29,0.00524360935110324,0.0,CHFUSD
30,0.019151080748124105,0.0,CHFUSD
31,-0.08830332897515847,0.0337384982392368,CHFUSD
32,-0.08172837042211356,-0.09499331756965135,CHFUSD
33,0.0040235525024534535,0.013334722366913132,CHFUSD
34,0.015293030893974935,-0.008162843562719568,CHFUSD
