,Dates,FX,PPI,Pair,3m,6m,12m,months,fitted,FX_eff,ret,ret_eff
31,1985-08-30,0.4329004329004329,1.589030540926958,CHFUSD,0.0,0.0,0.0,0.0,0.5728347890534548,0.4329004329004329,0.09653679653679648,0.09653679653679648
32,1985-09-30,0.4555808656036447,1.6056545750530649,CHFUSD,0.0,0.0,0.0,0.0,0.5629428147074302,0.4555808656036447,0.13621867881548977,0.13621867881548977
33,1985-10-31,0.4649000464900047,1.5969414546965035,CHFUSD,0.0,0.0,0.0,0.0,0.5681274746032839,0.4649000464900047,0.18781961878196207,0.18781961878196207
34,1985-11-29,0.48053820278712156,1.5885950707869396,CHFUSD,0.0,0.0,0.0,0.0,0.5730939114434142,0.48053820278712156,0.24987986544930307,0.24987986544930307
35,1985-12-31,0.4854368932038835,1.5840623946338792,CHFUSD,0.0,0.0,0.0,0.0,0.575791037537164,0.4854368932038835,0.29854368932038833,0.29854368932038833
36,1986-01-31,0.4911591355599214,1.5842631688705269,CHFUSD,0.0,0.0,0.0,0.0,0.5756715687257313,0.4911591355599214,0.4032416502946956,0.4032416502946956
37,1986-02-28,0.5296610169491526,1.607739542634023,CHFUSD,0.0,0.0,0.0,0.0,0.5617021744593004,0.5296610169491526,0.3771186440677967,0.3771186440677967
38,1986-03-31,0.5112474437627812,1.6188090367315522,CHFUSD,0.0,0.0,0.0,0.0,0.5551153766456297,0.5112474437627812,0.32924335378323133,0.32924335378323133
39,1986-04-30,0.5515719801434087,1.626837696247792,CHFUSD,0.0,0.0,0.0,1.0,0.5503379987020361,0.5515719801434087,0.42029784886927746,0.42029784886927746
40,1986-05-30,0.517196793379881,1.6209752180631152,CHFUSD,0.0,0.0,0.0,0.0,0.5538264109229831,0.517196793379881,0.3141970519782775,0.3141970519782775
41,1986-06-30,0.5566379070414695,1.6257381583795156,CHFUSD,0.0,0.0,0.0,1.0,0.5509922683157149,0.5566379070414695,0.2769273587531311,0.2769273587531311
42,1986-07-31,0.5959475566150179,1.6316285140258182,CHFUSD,0.0,0.0,0.0,2.0,0.5474872678747762,0.5959475566150179,0.37663885578069123,0.37663885578069123
43,1986-08-29,0.6093845216331505,1.6272017511313253,CHFUSD,0.0,0.0,0.0,3.0,0.5501213712853009,0.6093845216331505,0.33759902498476513,0.33759902498476513
44,1986-09-30,0.607164541590771,1.6205666257951346,CHFUSD,0.0,0.0,0.0,4.0,0.5540695398892851,0.607164541590771,0.3060109289617483,0.3060109289617483
45,1986-10-31,0.5844535359438925,1.6157958114316304,CHFUSD,0.0,0.0,0.0,5.0,0.5569083678738423,0.5844535359438925,0.21624780829924029,0.21624780829924029
46,1986-11-28,0.6086427267194157,1.6036942511472512,CHFUSD,0.0,0.0,0.0,6.0,0.5641092869150248,0.6086427267194157,0.2538040170419962,0.2538040170419962
47,1986-12-31,0.6195786864931847,1.606594240751496,CHFUSD,0.0,0.0,0.0,7.0,0.5623836755170142,0.6086427267194157,0.26146220570012413,0.23919659160073037
48,1987-01-30,0.6468305304010349,1.5958458827419764,CHFUSD,0.0,0.0,0.0,8.0,0.5687793843374794,0.6086427267194157,0.22121604139715378,0.1491174680462568
49,1987-02-27,0.6499837504062399,1.5865118127421018,CHFUSD,0.0,0.0,0.0,9.0,0.5743335344482371,0.6086427267194157,0.2713682157946051,0.19050517346317708
50,1987-03-31,0.6642311524410495,1.585497876742959,CHFUSD,0.0,0.0,0.0,10.0,0.5749368674789531,0.6086427267194157,0.2042510793756227,0.10346926354230068
51,1987-04-30,0.6770480704129994,1.5724718851957118,CHFUSD,0.0,0.0,0.0,11.0,0.5826878606036935,0.6086427267194157,0.3090724441435344,0.17681071211199018
