,ret,ret_hedged,pair
0,-0.09223300970873782,-0.09084604715672673,NZDUSD
1,-0.2676728784845218,-0.2745995423340961,NZDUSD
2,0.06276595744680846,0.06276595744680846,NZDUSD
3,-0.01925953627524324,-0.01925953627524324,NZDUSD
4,0.2179937188250507,0.2179937188250507,NZDUSD
5,-0.047475508666164234,0.0,NZDUSD
6,-0.009151414309484074,-0.061039939713639746,NZDUSD
7,-0.02343360478643841,-0.02263242375601926,NZDUSD
8,-0.09769539078156309,-0.11266217769748721,NZDUSD
9,-0.04485634847080633,-0.04485634847080633,NZDUSD
10,0.08081979891724678,0.08081979891724678,NZDUSD
11,0.12343942324599966,0.12343942324599966,NZDUSD
12,0.02492553691801236,0.02633641636620143,NZDUSD
13,0.053039332538736605,0.04979379868642142,NZDUSD
14,-0.155800784085959,0.003346428051796746,NZDUSD
15,-0.09426860564585127,-0.23230858468677495,NZDUSD
16,-0.030860754787135236,-0.030860754787135236,NZDUSD
17,-0.10706379553230028,-0.10706379553230028,NZDUSD
18,-0.061725613876999375,-0.061725613876999375,NZDUSD
19,0.2602114368092263,0.2602114368092263,NZDUSD
20,0.20271509814712885,0.20271509814712885,NZDUSD
21,0.06557863501483663,-0.008011869436201913,NZDUSD
22,-0.03771991555242793,0.0942267424469041,NZDUSD
23,0.022367465504720352,-0.03786221979223625,NZDUSD
24,0.10807291666666674,0.0,NZDUSD
25,-0.2644743524631792,0.0,NZDUSD
26,0.42031833366083715,-0.08824276282376842,NZDUSD
27,0.1129814550641941,0.03411781088984833,NZDUSD
28,0.005563462284901011,0.04659305144088344,NZDUSD
29,0.002418964683115643,0.0,NZDUSD
30,-0.0207439198855508,0.0,NZDUSD
31,-0.035740786544645076,0.00011921793037661388,NZDUSD
32,-0.05922049304503507,-0.10954821790439861,NZDUSD
33,0.06940160394818018,-0.06599732262382862,NZDUSD
34,-0.02926695842450766,0.015479432420811179,NZDUSD
