,Dates,FX,PPI,Pair,3m,6m,12m,months,fitted,FX_eff,ret,ret_eff
0,1983-01-01,0.004169272461955389,2.3018903952644645,JPYUSD,0.0,0.0,0.0,0.0,0.005352252827359454,0.004169272461955389,,
1,1983-02-28,0.004204330460374186,2.3018903952644645,JPYUSD,0.0,0.0,0.0,0.0,0.005352252827359454,0.004204330460374186,,
2,1983-03-31,0.0041841004184100415,2.302276640520375,JPYUSD,0.0,0.0,0.0,0.0,0.005350701816766177,0.0041841004184100415,,
3,1983-04-29,0.00419639110365086,2.289216625167592,JPYUSD,0.0,0.0,0.0,0.0,0.005403145754524762,0.00419639110365086,,
4,1983-05-31,0.004186728072011723,2.2840518885921406,JPYUSD,0.0,0.0,0.0,0.0,0.005423885326124481,0.004186728072011723,,
5,1983-06-30,0.004179204279505183,2.277101559528338,JPYUSD,0.0,0.0,0.0,0.0,0.005451795142076273,0.004179204279505183,,
6,1983-07-29,0.004136504653567736,2.2727790432801824,JPYUSD,0.0,0.0,0.0,0.0,0.0054691526846943565,0.004136504653567736,,
7,1983-08-31,0.004057618178129438,2.2527472527472527,JPYUSD,0.0,0.0,0.0,0.0,0.0055495925576596,0.004057618178129438,,
8,1983-09-30,0.00424358158285593,2.265310003803728,JPYUSD,0.0,0.0,0.0,0.0,0.005499145439743922,0.00424358158285593,,
9,1983-10-31,0.004272591326639607,2.2515082956259427,JPYUSD,0.0,0.0,0.0,0.0,0.005554567727167474,0.004272591326639607,,
10,1983-11-30,0.004301075268817204,2.2597844583096993,JPYUSD,0.0,0.0,0.0,0.0,0.005521333879507841,0.004301075268817204,,
11,1983-12-30,0.0043159257660768235,2.259539100868908,JPYUSD,0.0,0.0,0.0,0.0,0.005522319139479278,0.0043159257660768235,0.03517479499352616,0.03517479499352616
12,1984-01-31,0.0042613031064899646,2.2400749063670413,JPYUSD,0.0,0.0,0.0,0.0,0.005600479767733011,0.0042613031064899646,0.013550943878637867,0.013550943878637867
13,1984-02-29,0.0042839395107741075,2.23335198656967,JPYUSD,0.0,0.0,0.0,0.0,0.005627476396594874,0.0042839395107741075,0.02386154307501176,0.02386154307501176
14,1984-03-30,0.004449388209121246,2.2291938186557436,JPYUSD,0.0,0.0,0.0,0.0,0.005644173980278895,0.004449388209121246,0.060289210233592794,0.060289210233592794
15,1984-04-30,0.004405286343612335,2.2291938186557436,JPYUSD,0.0,0.0,0.0,0.0,0.005644173980278895,0.004405286343612335,0.05220264317180634,0.05220264317180634
16,1984-05-31,0.004318162190171863,2.2331345508758855,JPYUSD,0.0,0.0,0.0,0.0,0.005628349533699485,0.004318162190171863,0.03324984886432336,0.03324984886432336
17,1984-06-29,0.004214075010535188,2.231270965337309,JPYUSD,0.0,0.0,0.0,0.0,0.0056358329677807534,0.004214075010535188,0.018752633796881524,0.018752633796881524
18,1984-07-31,0.0040766408479412965,2.220511869436202,JPYUSD,0.0,0.0,0.0,0.0,0.0056790373087049085,0.0040766408479412965,0.004688136975132595,0.004688136975132595
19,1984-08-31,0.00413393964448119,2.2291938186557436,JPYUSD,0.0,0.0,0.0,0.0,0.005644173980278895,0.00413393964448119,-0.025837122778007426,-0.025837122778007426
20,1984-09-28,0.004050222762251924,2.244007490636704,JPYUSD,0.0,0.0,0.0,0.0,0.005584688040150958,0.004050222762251924,-0.052045362494937186,-0.052045362494937186
