,ret,ret_hedged,pair
0,-0.06744487678339806,-0.06744487678339806,NOKUSD
1,-0.13289328932893296,-0.13289328932893296,NOKUSD
2,0.20844327176780997,0.20844327176780997,NOKUSD
3,0.011186440677966036,0.011186440677966036,NOKUSD
4,0.13344051446945326,0.05824076853797644,NOKUSD
5,-0.027798933739527576,0.014775323686214925,NOKUSD
6,0.02461375340805816,0.02461375340805816,NOKUSD
7,0.10963455149501655,-0.002603369065850014,NOKUSD
8,-0.03341687552213868,0.09106098579782795,NOKUSD
9,-0.09262324577186043,-0.017839058970164356,NOKUSD
10,-0.08843627678630661,-0.1483447223512241,NOKUSD
11,0.10156712004730917,0.10156712004730917,NOKUSD
12,0.052681343271821834,0.03005350727051237,NOKUSD
13,0.0207291258330069,0.011337408770507151,NOKUSD
14,-0.12080609726328351,-0.13038053649407366,NOKUSD
15,0.005575051314308466,0.005575051314308466,NOKUSD
16,-0.05994985467835878,-0.05994985467835878,NOKUSD
17,-0.05381058945144335,-0.05381058945144335,NOKUSD
18,-0.020762674044983886,-0.020762674044983886,NOKUSD
19,0.3153092114747007,0.3153092114747007,NOKUSD
20,0.037778311228470196,0.037778311228470196,NOKUSD
21,0.15304662445522577,0.15304662445522577,NOKUSD
22,-0.056122297678004696,0.0,NOKUSD
23,0.06543075245365326,-0.056541972966563825,NOKUSD
24,0.14799897005811835,0.10931719908587212,NOKUSD
25,-0.22208001380540143,0.1963140710436253,NOKUSD
26,0.1925606282903254,-0.1548167234643837,NOKUSD
27,0.018138719983510354,0.023601279607949888,NOKUSD
28,-0.033405298656089544,0.058234595022868874,NOKUSD
29,0.05369465209890745,-0.021134084219061267,NOKUSD
30,-0.09981387841154277,-0.06555432938579875,NOKUSD
31,-0.15721953837895852,0.0,NOKUSD
32,-0.1259739231717384,-0.1259739231717384,NOKUSD
33,0.004432562553526642,0.004432562553526642,NOKUSD
34,0.005143706881840959,0.005143706881840959,NOKUSD
