,ret,ret_hedged,pair
0,-0.006267577340297259,-0.006267577340297259,CADUSD
1,-0.0547779375047287,-0.0547779375047287,CADUSD
2,-0.050983196281730536,-0.050983196281730536,CADUSD
3,0.03062997827661107,0.03062997827661107,CADUSD
4,0.029841562836486757,0.0,CADUSD
5,0.06975184439973159,0.0,CADUSD
6,0.022020725388601115,0.06422018348623837,CADUSD
7,0.02180094786729847,0.024348568987612174,CADUSD
8,0.006142931302993704,0.0160590277777779,CADUSD
9,-0.07486420530583315,-0.043824701195219196,CADUSD
10,-0.04376037422664858,-0.06036499766027126,CADUSD
11,-0.051501533632926755,-0.08538412154932584,CADUSD
12,0.031146940271161494,0.031146940271161494,CADUSD
13,0.002699744618752442,0.0,CADUSD
14,-0.05770441351332445,0.004458738396316164,CADUSD
15,-0.05512937199323875,-0.1105837992458717,CADUSD
16,0.04453357305857142,0.04453357305857142,CADUSD
17,-0.03415382562871039,-0.03415382562871039,CADUSD
18,-0.05976145637162589,-0.05976145637162589,CADUSD
19,0.011006489375238626,0.011006489375238626,CADUSD
20,0.17154973014649189,0.17154973014649189,CADUSD
21,0.10258756968133786,-0.006820055459791696,CADUSD
22,0.06695352839931146,0.14827882960413086,CADUSD
23,-0.022904692459466247,-0.022904692459466247,CADUSD
24,0.1787860576923077,0.1860324498639525,CADUSD
25,-0.17722349852313757,-0.1858385297013455,CADUSD
26,0.1674895556399545,0.1674895556399545,CADUSD
27,0.0725450901803606,0.0,CADUSD
28,-0.01987662782727917,0.0,CADUSD
29,0.010583610523132725,0.011213253864026385,CADUSD
30,-0.06128212369387187,-0.027029683506978652,CADUSD
31,-0.04242319938043193,-0.06471777900349329,CADUSD
32,-0.0799913288532409,-0.2139605462822458,CADUSD
33,0.039803586042705064,0.07260168841135828,CADUSD
34,0.036512608384376755,0.036512608384376755,CADUSD
